,sku,Tên,Trạng thái,Nhãn hàng,Loại,Nhóm,Đặc điểm nổi bật,Giá gốc,Giá hiện tại,Giảm giá,Thời gian kết thúc giảm giá,Khuyến mãi,Link đặt hàng,Ảnh,Màu,Bộ xử lý,Đồ họa,RAM,Lưu trữ,Giao tiếp và kết nối,Thông số cơ bản,Thiết kế và Trọng lượng,Thông tin hàng hóa,Hệ thống làm mát,Phụ kiện trong hộp,Hệ điều hành,Màn hình,Âm Thanh,Ổ đĩa quang
0,00910858,PC E-Power Office 31 AMD Ryzen 5 4600G / RAM 16GB / SSD 512GB / 450W,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['AMD Ryzen 5 4600G ', 'RAM 16GB ', 'SSD 512GB ']",8490000,6690000,21,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-31-amd-ryzen-5-4600g-ram-16gb?sku=00910858,https://cdn2.fptshop.com.vn/unsafe/00910859_pc_e_power_office_30_244ec1cd1a.png,Đen,"{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '4600G'}",{'Đồ họa tổng hợp': 'AMD Radeon Graphics'},"{'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)'}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['3'], 'Số khe SSD/HDD còn lại': ['1 SSD + 1 HDD']}",{'Cổng giao tiếp': ['Đầu ra: HDMI']},"{'Khe RAM tối đa': '2 khe', 'Công suất': ['Bên trên: 450 W']}","{'Kích thước': '293 x 160 x 382 mm', 'Trọng lượng sản phẩm': [{'displayValue': '5 kg', 'value': 5}], 'Chất liệu': ['Khung máy: Kim loại']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}",,,,,,
1,00910857,PC E-Power Office 32 AMD Ryzen 5 5600G / RAM 16GB / SSD 512GB / 450W,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['AMD Ryzen 5 5600G ', 'RAM 16GB ', 'SSD 512GB ']",8990000,7990000,11,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-32-amd-ryzen-5-5600g-ram-16gb?sku=00910857,https://cdn2.fptshop.com.vn/unsafe/00910859_pc_e_power_office_30_244ec1cd1a.png,Đen,"{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '5600G'}",{'Đồ họa tổng hợp': 'AMD Radeon Graphics'},"{'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)'}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['3'], 'Số khe SSD/HDD còn lại': ['1 SSD + 1 HDD']}",{'Cổng giao tiếp': ['Đầu ra: HDMI']},"{'Khe RAM tối đa': '2 khe', 'Công suất': ['Bên trên: 450 W']}","{'Kích thước': '293 x 160 x 382 mm', 'Trọng lượng sản phẩm': [{'displayValue': '5 kg', 'value': 5}], 'Chất liệu': ['Khung máy: Kim loại']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}",,,,,,
2,00883346,PC E-Power Office 21 AMD Ryzen 5 4600G 3.6 GHz - 4.0 GHz / 16GB / 256GB / 500W,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['AMD Ryzen 5 4600G ', 'RAM 16GB ', 'Bảo hành theo linh kiện']",8490000,6490000,24,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-21-amd-ryzen-5-4600g?sku=00883346,https://cdn2.fptshop.com.vn/unsafe/2023_6_20_638228497605237433_vo-case-jetek-en15-mini-1.jpg,Đen,"{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '4600G'}","{'Hãng': 'AMD', 'Model': 'Vega 8', 'Bộ nhớ': 'Share', 'Đồ họa tổng hợp': 'AMD Radeon Graphics Vega 8'}","{'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB', 'Loại RAM': ['DDR4'], 'Tốc độ RAM': [{'displayValue': '3200 MHz', 'value': 3200}]}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['3'], 'Số khe SSD/HDD còn lại': ['1 SSD + 1 HDD'], 'Loại SSD': ['M2. PCIe'], 'Dung lượng': {'displayValue': '256 GB', 'value': 256}}","{'Cổng giao tiếp': ['HDMI', 'USB 2.0', 'Jack 3.5 mm', 'LAN']}","{'Chế độ bảo hành': ['Bảo hành theo linh kiện'], 'Chipset': 'AMD A320', 'Khe RAM tối đa': '2 khe', 'Công suất': ['500 W']}","{'Kích thước': '300 x 150 x 320 mm', 'Trọng lượng sản phẩm': [{'displayValue': '4.5 kg', 'value': 4.5}], 'Kiểu dáng thiết kế': 'PC lắp ráp', 'Chất liệu': ['Vỏ máy: Kim loại'], 'Kích thước Mainboard': ['m-ATX']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành (tháng)': 36, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': ['Đen']}",{'Dạng tản nhiệt': ['Quạt']},"{'Phụ kiện trong hộp': ['Chuột có dây', 'Bàn phím có dây', 'USB thu Wifi', 'Dây nguồn']}",,,,
3,00909226,PC Gaming E-Power A1650 AMD Ryzen 3 3200G / 16GB / 256GB / 500W / GTX 1650 4GB,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['AMD Ryzen 3 3200G ', 'RAM 16GB ', 'GeForce GTX 1650 ']",11990000,9990000,17,2024-10-31T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-a1650-amd-ryzen-3-3200g?sku=00909226,https://cdn2.fptshop.com.vn/unsafe/pc_gaming_e_power_a1650_amd_ryzen_3_3200g_5035142948.jpg,Đen,"{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 3', 'Loại CPU': '3200G', 'Số nhân': 4, 'Số luồng': 4}",{'Đồ họa tổng hợp': 'NVIDIA GeForce GTX 1650 4GB'},"{'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': ['DDR4'], 'Tốc độ RAM': [{'displayValue': '2933 MHz', 'value': 2933}]}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['M.2 slot x 1'], 'Số khe SSD/HDD còn lại': ['1 SSD']}",{'Cổng giao tiếp': ['Audio Jack: USB 3.2']},"{'Tốc độ CPU': ['Cơ bản 3.5 GHz'], 'Chipset': 'AMD A320', 'Khe RAM tối đa': '2 khe', 'Công suất': ['Tổng: 500 W']}","{'Kích thước': '299  x 310 x 345 mm', 'Trọng lượng sản phẩm': [{'displayValue': '5.5 kg', 'value': 5.5}], 'Loại Case': 'MID tower', 'Chất liệu': ['Khung máy: Kim loại'], 'Kích thước Mainboard': ['m-ATX']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '02/2023', 'Thời gian bảo hành (tháng)': 36, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': ['Đen']}","{'Dạng tản nhiệt': ['Tản khí'], 'Chất liệu tản nhiệt': ['Copper, Aluminum']}",,{'OS': ['Không']},,,
4,00910856,PC E-Power Office 33 Intel Core i3 12100 / RAM 16GB / SSD 256GB / 450W,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['Intel Core i3-12100 ', 'RAM 16GB ', 'SSD 256GB ']",8490000,7090000,16,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-office-33-intel-core-i3-12100-ram-16gb?sku=00910856,https://cdn2.fptshop.com.vn/unsafe/00910859_pc_e_power_office_30_244ec1cd1a.png,Đen,"{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i3', 'Loại CPU': '12100'}",{'Đồ họa tổng hợp': 'Intel UHD Graphics 730'},"{'Hỗ trợ RAM tối đa': '64 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)'}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['3'], 'Số khe SSD/HDD còn lại': ['1 SSD + 1 HDD']}",{'Cổng giao tiếp': ['Đầu ra: HDMI']},"{'Khe RAM tối đa': '2 khe', 'Công suất': ['Bên trên: 450 W']}","{'Kích thước': '293 x 160 x 382 mm', 'Trọng lượng sản phẩm': [{'displayValue': '5 kg', 'value': 5}], 'Chất liệu': ['Khung máy: Kim loại']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}",,,,,,
5,00907114,PC Gaming E-Power N3050 Core i5 12400F / RAM 16GB / SSD 512GB / 650W / RTX 3050 6GB,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['Intel Core i5-12400F ', 'RAM 16GB ', 'GeForce RTX 3050 ']",17290000,14290000,17,2024-10-24T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-n3050-core-i5-12400f?sku=00907114,https://cdn2.fptshop.com.vn/unsafe/2024_3_7_638454239916491907_pc-gaming-e-power-n3050-core-i5-12400f.jpg,Đen,"{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '12400F', 'Số nhân': 6, 'Số luồng': 12}",{'Đồ họa tổng hợp': 'NVIDIA RTX 3050 OC 6GB'},"{'Hỗ trợ RAM tối đa': '128GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': ['DDR4'], 'Tốc độ RAM': [{'displayValue': '3200 MHz', 'value': 3200}]}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['M.2 slot x 1'], 'Số khe SSD/HDD còn lại': ['1 SSD']}",{'Cổng giao tiếp': ['Audio Jack: USB 3.2']},"{'Chipset': 'AMD B450', 'Khe RAM tối đa': '2 khe', 'Công suất': ['Tổng: 650 W']}","{'Kích thước': '299 x 310 x 345 mm', 'Trọng lượng sản phẩm': [{'displayValue': '5.5 kg', 'value': 5.5}], 'Loại Case': 'MID tower', 'Chất liệu': ['Khung máy: Kim loại'], 'Kích thước Mainboard': ['m-ATX']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành (tháng)': 36, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': ['Đen']}","{'Dạng tản nhiệt': ['Tản khí'], 'Chất liệu tản nhiệt': ['Copper, Aluminum']}",,{'OS': ['Không']},,,
6,00910548,PC E-Power Hero i7 12700F/RAM 32GB DDR5/500GB/750W/RTX3060/Wifi/Bluetooth,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['Intel Core i7-12700F ', 'RAM 32GB ', 'GeForce RTX 3060 ']",28990000,24990000,14,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-hero-i7-12700f,https://cdn2.fptshop.com.vn/unsafe/00910548_27c5788113.png,Đen,"{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i7', 'Loại CPU': '12700F'}",{'Đồ họa tổng hợp': 'NVIDIA GeForce RTX 3060 12GB'},"{'Số khe RAM còn lại': 2, 'Hỗ trợ RAM tối đa': '128 GB', 'Dung lượng RAM': '32 GB (2 thanh 16 GB)', 'Loại RAM': ['DDR5'], 'Tốc độ RAM': [{'displayValue': '5200 MHz', 'value': 5200}]}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['3'], 'Số khe SSD/HDD còn lại': ['2 SSD + 1 HDD']}",{'Cổng giao tiếp': ['Đầu ra: Type C']},"{'Khe RAM tối đa': '4 khe', 'Công suất': ['Bên trên: 750 W']}","{'Kích thước': '430 x 218 x 395 mm', 'Trọng lượng sản phẩm': [{'displayValue': '8 kg', 'value': 8}], 'Loại Case': 'MID tower', 'Chất liệu': ['Khung máy: Thép sơn tĩnh điện']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}",,,,,,
7,00910549,PC E-Power Poseidon i7 12700F/RAM 32GB DDR5/SSD 1TB/750W/RTX4060/Wifi/Bluetooth Trắng,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['Intel Core i7-12700F ', 'RAM 32GB ', 'GeForce RTX 4060 ']",30990000,27990000,10,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-e-power-poseidon-i7-12700f,https://cdn2.fptshop.com.vn/unsafe/00910549_8b15a7aee7.png,Trắng,"{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i7', 'Loại CPU': '12700F'}",{'Đồ họa tổng hợp': 'NVIDIA GeForce RTX 4060 8GB GDDR6 (233 AI TOPS)'},"{'Số khe RAM còn lại': 2, 'Hỗ trợ RAM tối đa': '128 GB', 'Dung lượng RAM': '32 GB (2 thanh 16 GB)', 'Loại RAM': ['DDR5'], 'Tốc độ RAM': [{'displayValue': '5200 MHz', 'value': 5200}]}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['3'], 'Số khe SSD/HDD còn lại': ['2 SSD + 1 HDD']}",{'Cổng giao tiếp': ['Đầu ra: Type C']},"{'Khe RAM tối đa': '4 khe', 'Công suất': ['Bên trên: 750 W']}","{'Kích thước': '299 x 310 x  345 mm', 'Trọng lượng sản phẩm': [{'displayValue': '8 kg', 'value': 8}], 'Loại Case': 'MID tower', 'Chất liệu': ['Khung máy: Thép sơn tĩnh điện']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Trắng']}",,,,,,
8,00907115,PC Gaming E-Power N3050 Ryzen 5 5500 / RAM 16GB / SSD 512GB / 650W / RTX 3050 6GB,Mua ngay,E-Power,Máy tính để bàn,PC lắp ráp,"['AMD Ryzen 5 5500 ', 'RAM 16GB ', 'GeForce RTX 3050 ']",14490000,13190000,9,2024-10-24T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/pc-gaming-e-power-n3050-ryzen-5-5500?sku=00907115,https://cdn2.fptshop.com.vn/unsafe/2024_3_7_638454243546227905_pc-gaming-e-power-n3050-core-i5-12400f.jpg,Đen,"{'Hãng CPU': 'AMD', 'Công nghệ CPU': 'Ryzen 5', 'Loại CPU': '5500', 'Số nhân': 6, 'Số luồng': 12}",{'Đồ họa tổng hợp': 'NVIDIA RTX 3050 OC 6GB'},"{'Số khe RAM còn lại': 2, 'Hỗ trợ RAM tối đa': '128GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': ['DDR4'], 'Tốc độ RAM': [{'displayValue': '3200 MHz', 'value': 3200}]}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['M.2 slot x 1'], 'Số khe SSD/HDD còn lại': ['1 SSD']}",{'Cổng giao tiếp': ['Audio Jack: USB 3.2']},"{'Chipset': 'AMD B450', 'Khe RAM tối đa': '4 khe', 'Công suất': ['Tổng: 650 W']}","{'Kích thước': '299 x 310 x 345 mm', 'Trọng lượng sản phẩm': [{'displayValue': '5.5 kg', 'value': 5.5}], 'Loại Case': 'MID tower', 'Chất liệu': ['Khung máy: Kim loại'], 'Kích thước Mainboard': ['m-ATX']}","{'Xuất xứ': ['Việt Nam / Trung Quốc'], 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành (tháng)': 36, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': ['Đen']}","{'Dạng tản nhiệt': ['Tản khí'], 'Chất liệu tản nhiệt': ['Copper, Aluminum']}",,{'OS': ['Không']},,,
9,00910504,"Máy tính Lenovo IdeaCentre AIO - 24IRH9 i5 13420H/16GB/512GB/23.8"" FHD/Bàn phím/chuột/Win 11",Mua ngay,Lenovo,Máy tính để bàn,Máy tính All In One,[],19390000,17590000,9,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-tinh-de-ban/lenovo-ideacentre-aio-24irh9-i5-13420h-f0hn003mvn?sku=00910504,https://cdn2.fptshop.com.vn/unsafe/lenovo_ideacentre_aio_24irh9_lunar_gray_b0108a9056.png,Xám,"{'Hãng CPU': 'Intel', 'Công nghệ CPU': 'Core i5', 'Loại CPU': '13420H', 'Số nhân': 8, 'Số luồng': 12, 'Bộ nhớ đệm': {'displayValue': '12 MB', 'value': 12}}","{'Hãng': 'Intel', 'Model': 'UHD', 'Đồ họa tổng hợp': 'Intel UHD Graphics'}","{'Hỗ trợ RAM tối đa': '16 GB', 'Dung lượng RAM': '16 GB (2 thanh 8 GB)', 'Loại RAM': ['DDR5'], 'Tốc độ RAM': [{'displayValue': '5200 MHz', 'value': 5200}]}","{'Kiểu ổ cứng': ['SSD'], 'Tổng số khe cắm SSD/HDD': ['1 SSD'], 'Số khe SSD/HDD còn lại': ['0'], 'Loại SSD': ['1 M2. PCIe'], 'Dung lượng': {'displayValue': '512 ', 'value': 512}, 'Chuẩn M2': '2280'}","{'Cổng giao tiếp': ['3 USB Type-A', '1 HDMI 1.4', '1 HDMI 2.1', '1 RJ45 Gigabit Ethernet', '1 Power connector'], 'Wifi': ['Wifi 6'], 'Bluetooth': ['v5.2'], 'Webcam': ['5.0 MP']}","{'Chế độ bảo hành': ['Bảo hành tại hãng'], 'Tên thế hệ': 'Đang cập nhật', 'Tốc độ CPU': ['Tối đa 4.6 GHz'], 'Khe RAM tối đa': '2 khe', 'Công suất': ['Đang cập nhật']}","{'Kích thước': '540 x 192 x 431 mm', 'Trọng lượng sản phẩm': [{'displayValue': '6 kg', 'value': 6}], 'Kiểu dáng thiết kế': 'All in One', 'Chất liệu': ['Khung máy: Nhựa']}","{'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '01/2024', 'Thời gian bảo hành (tháng)': 24, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': ['Xám']}",,"{'Phụ kiện trong hộp': ['Bàn phím không dây', 'Chuột không dây']}","{'OS': ['Windows'], 'Version': 'Windows 11'}","{'Kích thước màn hình': {'displayValue': '23.8 inch', 'value': 23.8}, 'Công nghệ màn hình': 'IPS', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Loại màn hình': 'LCD', 'Tần số quét': {'displayValue': '100 ', 'value': 100}, 'Tấm nền': 'IPS', 'Độ sáng': '250 nits', 'Độ phủ màu': ['99% sRGB']}","{'Công nghệ âm thanh': ['High Definition (HD) Audio', 'Đang cập nhật']}",
