,sku,Tên,Trạng thái,Nhãn hàng,Loại,Nhóm,Đặc điểm nổi bật,Giá gốc,Giá hiện tại,Giảm giá,Thời gian kết thúc giảm giá,Khuyến mãi,Link đặt hàng,Ảnh,Màu,Thông tin hàng hóa,Thiết kế và Trọng lượng,Thông số cơ bản,Tính năng và tiện ích
0,00910938,Tủ lạnh Aqua mini một cửa 90 lít AQR-D100FA(BS),Mua ngay,Aqua,Tủ lạnh,Mini,"['1 - 2 người sử dụng ', 'Làm lạnh trực tiếp ', 'Ngăn đá có nắp đậy ']",3390000,3390000,0,,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/aqua-mini-mot-cua-90-lit-aqr-d100fabs?sku=00910938,https://cdn2.fptshop.com.vn/small/tu_lanh_aqua_aqr_d100fa_bs_a4fdc416d6.png,Đen,"{'Model': 'AQR-D100FA(BS)', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2024', 'Màu sắc': ['Đen']}","{'Kích thước': 'Cao 76.9 cm x Rộng 47cm x Sâu 48.4 cm', 'Trọng lượng sản phẩm': [{'displayValue': '18 kg', 'value': 18}], 'Chất liệu': ['Cửa tủ Kính chịu lực', 'Khay Nhựa']}","{'Loại tủ': ['Tủ lạnh Mini'], 'Dung tích sử dụng': ['Tổng: 93 lít', 'Sử dụng: 90 lít', 'Ngăn lạnh: 90 lít'], 'Công nghệ tiết kiệm điện': ['Non Inverter'], 'Công nghệ làm lạnh': ['Trực tiếp'], 'Công nghệ kháng khuẩn khử mùi': ['Không'], 'Công nghệ bảo quản thực phẩm': ['Không'], 'Nhãn năng lượng': '5 sao', 'Điện áp': '220 V / 50 Hz'}",
1,00907645,Tủ lạnh Toshiba Inverter 194 lít GR-RT252WE-PMV(52),Mua ngay,Toshiba,Tủ lạnh,Ngăn đá trên,"['2 - 3 người sử dụng ', 'Làm lạnh đa chiều ', 'Nano Fresh Ag+ ']",5990000,5490000,8,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/toshiba-194-lit-gr-rt252we-pmv52?sku=00907645,https://cdn2.fptshop.com.vn/unsafe/2024_6_10_638536304274133894_toshiba-194-lit-gr-rt252we-pmv52-8.jpg,Đen,"{'Model': 'GR-RT252WE-PMV(52)', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Máy nén 2 năm'], 'Màu sắc': ['Đen']}","{'Kích thước': '134.5 x 54.5 x 61.5 cm', 'Trọng lượng sản phẩm': [{'displayValue': '37 kg', 'value': 37}], 'Chất liệu': ['Cửa tủ Kim loại đen Sapphire', 'Khay ngăn lạnh: Kính chịu lực', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Nhôm']}","{'Loại tủ': ['Tủ lạnh lớn - ngăn đá trên - 2 cánh'], 'Dung tích sử dụng': ['Sử dụng: 194 lít', 'Tổng: Hãng không công bố', 'Ngăn đá: 61 lít', 'Ngăn lạnh: 133 lít'], 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công nghệ làm lạnh': ['Làm lạnh đa chiều'], 'Công nghệ kháng khuẩn khử mùi': ['Công nghệ PureBio bộ lọc tinh thể Ag+'], 'Công nghệ bảo quản thực phẩm': ['Công nghệ Multi Air Flow Ngăn Cooling Zone 0°C'], 'Công suất tiêu thụ điện trung bình': ['0.71 kW/ngày'], 'Nhãn năng lượng': 'Đang cập nhật'}",
2,00906186,Tủ lạnh Casper Inverter side by side 458 lít RS-460PG,Mua ngay,Casper,Tủ lạnh,Side by Side,"['4 - 5 người sử dụng ', 'Làm lạnh đa chiều ', 'Bảng điều khiển cảm ứng']",13990000,9490000,32,2024-10-24T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/casper-458-lit-rs-460pg?sku=00906186,https://cdn2.fptshop.com.vn/unsafe/2024_6_10_638536307431904817_casper-458-lit-rs-460pg-5.jpg,Xám Nhạt,"{'Model': 'RS-460PG', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Máy nén 12 năm', 'Toàn thiết bị 2 năm'], 'Màu sắc': ['Xám Nhạt']}","{'Kích thước': '61 x 83 x 178.5 cm', 'Trọng lượng sản phẩm': [{'displayValue': '70 kg', 'value': 70}], 'Chất liệu': ['Cửa tủ Kim loại phủ sơn tĩnh điện', 'Lòng tủ Nhôm kháng khuẩn', 'Thân tủ Kim loại phủ sơn tĩnh điện']}","{'Loại tủ': ['Tủ lạnh lớn - Side by side'], 'Dung tích sử dụng': ['458 lít'], 'Số người sử dụng': 'Từ 1 - 2 người', 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công nghệ làm lạnh': ['Làm lạnh đa chiều'], 'Công nghệ kháng khuẩn khử mùi': ['Không'], 'Công nghệ bảo quản thực phẩm': ['Không'], 'Công suất tiêu thụ điện trung bình': ['1.3 kW/ngày'], 'Nhãn năng lượng': '3 sao', 'Điện áp': '220 V / 50 Hz'}","{'Tiện ích': ['Bảng điều khiển cảm ứng bên ngoài cửa tủ', 'Cảnh báo cửa mở', 'Đèn LED chiếu sáng', 'Khóa màn hình LED']}"
3,00908793,Tủ lạnh LG Inverter Side By Side 519 lít GR-B256JDS,Mua ngay,LG,Tủ lạnh,Side by Side,"['4 - 5 người sử dụng ', 'Làm lạnh đa chiều ', 'Than hoạt tính khử khuẩn']",19990000,12990000,35,2024-10-24T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/lg-inverter-side-by-side-519-lit-gr-b256jds?sku=00908793,https://cdn2.fptshop.com.vn/unsafe/2024_6_14_638539546798404654_00908793-lg-gr-b256jds.jpg,Bạc,"{'Model': 'GR-B256JDS', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2023', 'Màu sắc': ['Bạc']}","{'Kích thước': '178.6 x 91 x 64.3 cm', 'Trọng lượng sản phẩm': [{'displayValue': '83 kg', 'value': 83}], 'Chất liệu': ['Cửa tủ Kim loại phủ sơn tĩnh điện', 'Khay ngăn lạnh: Kính chịu lực', 'Ống dẫn gas Nhôm', 'Lá tản nhiệt Nhôm']}","{'Loại tủ': ['Tủ lạnh lớn - Side by side'], 'Dung tích sử dụng': ['Tổng: 566 lít', 'Sử dụng: 519 lít', 'Ngăn đá: 184 lít', 'Ngăn lạnh: 335 lít'], 'Số người sử dụng': 'Từ 4-5 người', 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công nghệ làm lạnh': ['Làm lạnh đa chiều'], 'Công nghệ kháng khuẩn khử mùi': ['Bộ lọc than hoạt tính'], 'Công nghệ bảo quản thực phẩm': ['Linear Cooling'], 'Nhãn năng lượng': '4 sao', 'Điện áp': '220 V / 50 Hz'}","{'Tiện ích': ['Có khóa', 'Bảng điều khiển bên ngoài']}"
4,00906183,Tủ lạnh Samsung Inverter 208 lít RT20HAR8DBU/SV,Mua ngay,Samsung,Tủ lạnh,Ngăn đá trên,"['2 - 3 người sử dụng ', 'Làm lạnh đa chiều ', 'Ngăn rau củ Big Box']",7890000,6790000,14,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/samsung-inverter-208-lit-rt20har8dbusv?sku=00906183,https://cdn2.fptshop.com.vn/unsafe/2024_6_11_638537178415898882_00906183-samsung-rt20har8dbu-sv.jpg,Đen,"{'Model': 'RT20HAR8DBU/SV', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2020', 'Màu sắc': ['Đen']}","{'Kích thước': 'Cao 144.5 cm - Rộng 55.6 cm - Sâu 60.6 cm', 'Trọng lượng sản phẩm': [{'displayValue': '43 kg', 'value': 43}], 'Chất liệu': ['Cửa tủ Kim loại phủ sơn bóng giả gương', 'Khay Kính chịu lực'], 'Kiểu tủ': '2 cửa ngăn đá trên'}","{'Loại tủ': ['Tủ lạnh'], 'Dung tích sử dụng': ['208 lít'], 'Số người sử dụng': '2 -3 người', 'Công nghệ tiết kiệm điện': ['Digital Inverter'], 'Công nghệ làm lạnh': ['Làm lạnh đa chiều'], 'Công nghệ kháng khuẩn khử mùi': ['Bộ lọc than hoạt tính Deodorizer'], 'Công nghệ bảo quản thực phẩm': ['Ngăn rau củ lớn giữ ẩm Big Box', 'Ngăn Cool Pack'], 'Nhãn năng lượng': '5 sao', 'Điện áp': '220 V'}","{'Tiện ích': ['Hơi lạnh lan tỏa đồng đều trong tủ với công nghệ làm lạnh đa chiều', 'Rau quả luôn tươi ngon mọng nước với ngăn rau quả cân bằng độ ẩm', 'Làm lạnh hiệu quả và tiết kiệm điện năng tối ưu', 'Thực phẩm vẫn được giữ đông lạnh ngay cả lúc không có điện']}"
5,00906633,Tủ lạnh Aqua 130 lít AQR-T150FA(BS),Mua ngay,Aqua,Tủ lạnh,Ngăn đá trên,"['1 - 2 người sử dụng ', 'Làm lạnh gián tiếp ', 'Nano Fresh Ag+ ']",4590000,4590000,0,,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/aqua-130-lit-aqr-t150fabs?sku=00906633,https://cdn2.fptshop.com.vn/unsafe/2024_6_11_638537199487865208_00906633-aqua-aqr-t150fa-bs.jpg,Đen,"{'Model': 'AQR-T150FA(BS)', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2023', 'Màu sắc': ['Đen']}","{'Kích thước': '48 x 124 x 60 cm', 'Trọng lượng sản phẩm': [{'displayValue': '33 kg', 'value': 33}], 'Chất liệu': ['Cửa tủ Kim loại phủ sơn tĩnh điện', 'Khay Kính chịu lực'], 'Kiểu tủ': '2 cửa ngăn đá trên'}","{'Loại tủ': ['Tủ lạnh'], 'Dung tích sử dụng': ['130 lít'], 'Số người sử dụng': '1 - 2 người', 'Công nghệ tiết kiệm điện': ['Không'], 'Công nghệ làm lạnh': ['Làm lạnh gián tiếp'], 'Công nghệ kháng khuẩn khử mùi': ['Nano Fresh Ag+'], 'Công nghệ bảo quản thực phẩm': ['Ngăn rau quả giữ ẩm'], 'Công suất tiêu thụ điện trung bình': ['1.15 kW/ngày'], 'Nhãn năng lượng': '3 sao', 'Điện áp': '220 V'}","{'Tiện ích': ['Diệt khuẩn, khử mùi hiệu quả', 'Không đóng tuyết', 'Hệ thống đèn LED bền, ít tỏa nhiệt và tiết kiệm năng lượng', 'Chất liệu khay bằng kính chịu lực tốt, dễ dàng di chuyển']}"
6,00909204,Tủ lạnh Aqua Inverter 283 lít AQR-T299FA(SL),Mua ngay,Aqua,Tủ lạnh,Ngăn đá trên,"['2 - 3 người sử dụng ', 'Làm lạnh đa chiều ', 'Khử khuẩn DEO Fresh ']",7990000,7690000,4,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/aqua-inverter-283-lit-aqr-t299fasl?sku=00909204,https://cdn2.fptshop.com.vn/unsafe/00909204_aqua_aqr_t299fa_sl_0aba7b9c42.png,Đen,"{'Model': 'T299FA(SL)', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '02/2024', 'Màu sắc': ['Đen']}","{'Kích thước': 'Cao 163 cm - Rộng 54.8 cm - Sâu 62.5 cm', 'Trọng lượng sản phẩm': [{'displayValue': '48 kg', 'value': 48}], 'Chất liệu': ['Cửa tủ Thép không gỉ', 'Khay ngăn lạnh: Kính chịu lực', 'Ống dẫn gas Nhôm', 'Lá tản nhiệt Sắt']}","{'Loại tủ': ['Tủ lạnh ngăn đá trên'], 'Dung tích sử dụng': ['Tổng: 298 lít', 'Sử dụng: 283 lít', 'Ngăn đá: 65 lít', 'Ngăn lạnh: 218 lít'], 'Số người sử dụng': 'Từ 2-3 người', 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công nghệ làm lạnh': ['Làm lạnh đa chiều', 'Làm lạnh gián tiếp'], 'Công nghệ kháng khuẩn khử mùi': ['Kháng khuẩn khử mùi DEO Fresh'], 'Công nghệ bảo quản thực phẩm': ['Ngăn trữ lạnh Chiller Box -1 độ C'], 'Nhãn năng lượng': '5 sao', 'Điện áp': '220 V / 50 Hz'}","{'Tiện ích': ['Đèn LED chiếu sáng', 'Ngăn đông mềm trữ thịt cá không cần rã đông']}"
7,00909209,Tủ lạnh Toshiba Inverter Side By Side 596 lít GR-RS775WI-PMV(06)-MG,Mua ngay,Toshiba,Tủ lạnh,Side by Side,"['Phù hợp trên 5 người', 'Làm lạnh đa chiều ', 'Lấy nước ngoài ']",17990000,17490000,3,2024-10-24T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/toshiba-inverter-side-by-side-596-lit-gr-rs775wi-pmv06-mg?sku=00909209,https://cdn2.fptshop.com.vn/unsafe/00909209_toshiba_gr_rs775wi_pmv_06_mg_ac6e2dc4bf.png,Đen,"{'Model': 'GR-RS775WI-PMV(06)-MG', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '02/2023', 'Màu sắc': ['Đen']}","{'Kích thước': 'Cao 177.5 cm - Rộng 91 cm - Sâu 70 cm', 'Trọng lượng sản phẩm': [{'displayValue': '88 kg', 'value': 88}], 'Chất liệu': ['Cửa tủ Kim loại phủ sơn tĩnh điện', 'Khay ngăn lạnh: Kính chịu lực', 'Ống dẫn gas Đồng và Sắt', 'Lá tản nhiệt Nhôm Aluminium']}","{'Loại tủ': ['Tủ lạnh lớn - Side by side'], 'Dung tích sử dụng': ['Tổng: 612 lít', 'Sử dụng: 596 lít', 'Ngăn đá: 208 lít', 'Ngăn lạnh: 388 lít'], 'Số người sử dụng': 'Trên 5 người', 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công nghệ làm lạnh': ['Luồng khí lạnh đa chiều Multi Air Flow'], 'Công nghệ kháng khuẩn khử mùi': ['Công nghệ PureAir'], 'Nhãn năng lượng': '4 sao', 'Điện áp': '220 - 240V / 50 Hz'}","{'Tiện ích': ['Điều khiển từ xa trên ứng dụng TSmartLife', 'Có khóa', 'Bảng điều khiển cảm ứng bên ngoài cửa tủ', 'Thiết kế cửa tủ thông minh có thể kéo ra hoàn toàn khi mở cửa tủ 90 độ']}"
8,00909195,Tủ lạnh Samsung Inverter Multi Door 488 lít RF48A4000B4/SV,Mua ngay,Samsung,Tủ lạnh,Tủ nhiều cửa,"['4 - 5 người sử dụng ', 'Chế độ kỳ nghỉ, tiết kiệm', 'Power Freeze làm đá nhanh']",23990000,20490000,15,2024-10-24T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/tu-lanh-samsung-inverter-multi-door-488-lit-rf48a4000b4sv?sku=00909195,https://cdn2.fptshop.com.vn/unsafe/00909195_samsung_rf48a4000b4_sv_8096d53075.png,Đen,"{'Model': 'RF48A4000B4/SV', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '02/2021', 'Màu sắc': ['Đen']}","{'Kích thước': 'Cao 179.3 cm - Rộng 83.3 cm - Sâu 74 cm', 'Trọng lượng sản phẩm': [{'displayValue': '99 kg', 'value': 99}], 'Chất liệu': ['Cửa tủ Thép không gỉ', 'Khay ngăn lạnh: Kính chịu lực', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Nhôm']}","{'Loại tủ': ['Tủ lạnh nhiều cửa'], 'Dung tích sử dụng': ['Tổng: 511 lít', 'Ngăn đá: 159 lít', 'Sử dụng: 488 lít', 'Ngăn lạnh: 329 lít'], 'Số người sử dụng': 'Từ 4 - 5 người', 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công nghệ làm lạnh': ['Công nghệ làm đá nhanh Power Freeze', '2 dàn lạnh độc lập Twin Cooling Plus', 'Công nghệ làm lạnh Power Cool'], 'Công nghệ kháng khuẩn khử mùi': ['Bộ lọc than hoạt tính Deodorizer'], 'Công nghệ bảo quản thực phẩm': ['Ngăn rau quả giữ ẩm', 'Công nghệ làm lạnh No Frost'], 'Nhãn năng lượng': '4 sao', 'Điện áp': '220 V / 50 Hz'}","{'Tiện ích': ['Hộp đá xoay di động', 'Có khóa', 'Chuông báo khi quên đóng cửa', 'Bảng điều khiển bên ngoài']}"
9,00908789,Tủ lạnh Sharp Inverter 181 lít SJ-X198V-DG,Mua ngay,Sharp,Tủ lạnh,Ngăn đá trên,"['2 - 3 người sử dụng ', 'Làm lạnh đa chiều ', 'Nano Fresh Ag+ ']",5550000,5550000,0,,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/tu-lanh/sharp-inverter-181-lit-sj-x198v-dg?sku=00908789,https://cdn2.fptshop.com.vn/unsafe/2024_6_14_638539590444209820_00908789-sharp-sj-x198v-dg.jpg,Đen,"{'Model': 'SJ-X198V-DG', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Màu sắc': ['Đen']}","{'Kích thước': '134 x 54.5 x 55.5 cm', 'Trọng lượng sản phẩm': [{'displayValue': '39 kg', 'value': 39}], 'Chất liệu': ['Cửa tủ Kim loại', 'Khay ngăn lạnh: Kính', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Nhôm']}","{'Loại tủ': ['Tủ lạnh ngăn đá trên'], 'Dung tích sử dụng': ['Tổng: 198 lít', 'Sử dụng: 181 lít', 'Ngăn đá: 49 lít', 'Ngăn lạnh: 132 lít'], 'Số người sử dụng': 'Từ 2-3 người', 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công nghệ làm lạnh': ['Làm lạnh đa chiều'], 'Công nghệ kháng khuẩn khử mùi': ['Bộ lọc khử mùi than hoạt tính Nano Ag+'], 'Công nghệ bảo quản thực phẩm': ['Ngăn rau quả giữ ẩm, Ngăn trữ tươi thực phẩm sống Extra Cool Plus -2℃'], 'Nhãn năng lượng': '5 sao', 'Điện áp': '220 - 240V / 50 Hz'}",{'Tiện ích': ['Khay đá di động']}
